,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,0.5231691320875231,0.4185353056700185
1,0.0001,8187,2,3,0,0.9993896484375,0.0006103515625,0.5233551983912462,0.418684158712997
2,0.00025,8177,5,8,2,0.9981689453125,0.0018310546875,0.5236341770581112,0.418907341646489
3,0.0005,8176,5,8,3,0.998046875,0.001953125,0.5240988195335936,0.41927905562687484
4,0.00075,8168,9,11,4,0.9970703125,0.0029296875,0.524563059765091,0.41965044781207284
5,0.001,8161,11,14,6,0.9962158203125,0.0037841796875,0.5250268980036439,0.42002151840291513
6,0.0025,8107,26,38,21,0.9896240234375,0.0103759765625,0.5278014861449757,0.4222411889159805
7,0.005,8015,50,87,40,0.9783935546875,0.0216064453125,0.5323937356953918,0.4259149885563135
8,0.0075,7947,71,130,44,0.9700927734375,0.0299072265625,0.5369460508619228,0.42955684068953826
9,0.01,7873,89,159,71,0.9610595703125,0.0389404296875,0.5414586017677209,0.4331668814141767
10,0.025,7384,199,408,201,0.9013671875,0.0986328125,0.5677083846235399,0.45416670769883194
11,0.05,6721,447,691,333,0.8204345703125,0.1795654296875,0.6083902972918045,0.48671223783344364
12,0.075,5989,634,1016,553,0.7310791015625,0.2689208984375,0.645384993243251,0.5163079945946009
13,0.1,5388,777,1269,758,0.65771484375,0.34228515625,0.678862595628812,0.5430900765030496
