,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,4309,256,3453,174,0.5260009765625,0.4739990234375,0.39617316717780326,0.31693853374224257
1,0.0001,4363,220,3450,159,0.5325927734375,0.4674072265625,0.39638821194185825,0.3171105695534866
2,0.00025,4360,252,3412,168,0.5322265625,0.4677734375,0.396710645337662,0.31736851627012963
3,0.0005,4288,247,3469,188,0.5234375,0.4765625,0.397247677757943,0.3177981422063544
4,0.00075,4373,245,3398,176,0.5338134765625,0.4661865234375,0.3977842646161679,0.31822741169293434
5,0.001,4338,245,3442,167,0.529541015625,0.470458984375,0.3983204060898503,0.3186563248718802
6,0.0025,4212,258,3478,244,0.51416015625,0.48583984375,0.4015279117222481,0.3212223293777985
7,0.005,4221,254,3480,237,0.5152587890625,0.4847412109375,0.4068382416235571,0.32547059329884565
8,0.0075,4257,266,3439,230,0.5196533203125,0.4803466796875,0.41210433394828383,0.32968346715862706
9,0.01,4176,281,3448,287,0.509765625,0.490234375,0.4173263657629803,0.3338610926103842
10,0.025,4027,330,3398,437,0.4915771484375,0.5084228515625,0.4477432016674383,0.35819456133395067
11,0.05,3890,471,3194,637,0.474853515625,0.525146484375,0.4950311317407161,0.39602490539257285
12,0.075,3661,578,3074,879,0.4468994140625,0.5531005859375,0.5382140239501092,0.43057121916008734
13,0.1,3422,673,3039,1058,0.417724609375,0.582275390625,0.5774689448480886,0.46197515587847093
