,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15
1,0.0001,6129,1,2060,2,0.7481689453125,0.2518310546875,0.36143858033045073,0.28915086426436054
2,0.00025,6070,0,2118,4,0.740966796875,0.259033203125,0.3617812663506015,0.2894250130804812
3,0.0005,6167,4,2016,5,0.7528076171875,0.2471923828125,0.36235203023423157,0.2898816241873853
4,0.00075,6135,6,2040,11,0.7489013671875,0.2510986328125,0.3629223197262732,0.29033785578101856
5,0.001,6056,11,2119,6,0.7392578125,0.2607421875,0.3634921350301694,0.2907937080241355
6,0.0025,6136,18,2021,17,0.7490234375,0.2509765625,0.3669010778950852,0.2935208623160681
7,0.005,6012,38,2089,53,0.73388671875,0.26611328125,0.37254483712079345,0.29803586969663476
8,0.0075,6023,56,2049,64,0.7352294921875,0.2647705078125,0.37814149461229496,0.3025131956898359
9,0.01,5857,77,2183,75,0.7149658203125,0.2850341796875,0.38369123942971217,0.30695299154376976
10,0.025,5671,185,2113,223,0.6922607421875,0.3077392578125,0.41601512955680864,0.3328121036454469
11,0.05,5131,377,2264,420,0.6263427734375,0.3736572265625,0.46626130623001905,0.3730090449840152
12,0.075,4861,516,2218,597,0.5933837890625,0.4066162109375,0.5121376185350391,0.40971009482803133
13,0.1,4422,661,2319,790,0.539794921875,0.460205078125,0.5538331271153605,0.44306650169228834
