,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,0.4999999999999998,0.3999999999999998
1,0.0001,8186,1,2,3,0.999267578125,0.000732421875,0.5001999650030005,0.4001599720024004
2,0.00025,8188,1,3,0,0.99951171875,0.00048828125,0.5004997812968714,0.40039982503749716
3,0.0005,8174,8,8,2,0.997802734375,0.002197265625,0.5009991253749377,0.40079930029995015
4,0.00075,8172,8,5,7,0.99755859375,0.00244140625,0.5014980325153081,0.40119842601224653
5,0.001,8156,6,23,7,0.99560546875,0.00439453125,0.5019965029989999,0.40159720239919994
6,0.0025,8109,20,43,20,0.9898681640625,0.0101318359375,0.5049781562499998,0.40398252499999976
7,0.005,8035,38,83,36,0.9808349609375,0.0191650390625,0.5099127500000005,0.40793020000000035
8,0.0075,7957,68,112,55,0.9713134765625,0.0286865234375,0.5148039687499997,0.4118431749999998
9,0.01,7851,98,169,74,0.9583740234375,0.0416259765625,0.5196520000000019,0.41572160000000147
10,0.025,7373,192,427,200,0.9000244140625,0.0999755859375,0.5478437500000004,0.4382750000000003
11,0.05,6742,356,709,385,0.822998046875,0.177001953125,0.5914999999999991,0.4731999999999993
12,0.075,6064,514,1004,610,0.740234375,0.259765625,0.6311562499999999,0.5049249999999998
13,0.1,5479,747,1238,728,0.6688232421875,0.3311767578125,0.667,0.5336000000000001
