,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8189,1,1,1,0.9996337890625,0.0003662109375,0.00039993000400018186,0.0003199440032002343
2,0.00025,8179,1,7,5,0.9984130859375,0.0015869140625,0.0009995625625016658,0.000799650050001377
3,0.0005,8178,2,10,2,0.998291015625,0.001708984375,0.0019982505000001316,0.0015986004000001497
4,0.00075,8163,9,14,6,0.9964599609375,0.0035400390625,0.0029960641874995364,0.0023968513499996735
5,0.001,8162,14,11,5,0.996337890625,0.003662109375,0.003993003999999356,0.0031944031999995293
6,0.0025,8107,17,50,18,0.9896240234375,0.0103759765625,0.009956312499999509,0.007965049999999585
7,0.005,8057,35,74,26,0.9835205078125,0.0164794921875,0.01982550000000116,0.015860400000000885
8,0.0075,7957,76,114,45,0.9713134765625,0.0286865234375,0.02960793749999957,0.023686349999999634
9,0.01,7838,86,182,86,0.956787109375,0.043212890625,0.039304000000003114,0.03144320000000245
10,0.025,7377,223,384,208,0.9005126953125,0.0994873046875,0.09568750000000104,0.07655000000000078
11,0.05,6664,412,729,387,0.8134765625,0.1865234375,0.18300000000000116,0.14640000000000097
12,0.075,6037,596,1013,546,0.7369384765625,0.2630615234375,0.26231250000000084,0.20985000000000065
13,0.1,5429,747,1269,747,0.6627197265625,0.3372802734375,0.3340000000000003,0.2672000000000002
