,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8189,1,2,0,0.9996337890625,0.0003662109375,0.0003999300040002929,0.0003199440032002343
2,0.00025,8190,1,0,1,0.999755859375,0.000244140625,0.0009995625625012217,0.0007996500500009329
3,0.0005,8174,5,11,2,0.997802734375,0.002197265625,0.0019982505000009088,0.0015986004000007048
4,0.00075,8160,9,15,8,0.99609375,0.00390625,0.0029960641874997584,0.0023968513499997846
5,0.001,8170,9,9,4,0.997314453125,0.002685546875,0.003993003999999578,0.0031944031999996403
6,0.0025,8102,21,43,26,0.989013671875,0.010986328125,0.009956312500000397,0.007965050000000362
7,0.005,8029,39,81,43,0.9801025390625,0.0198974609375,0.01982550000000116,0.015860400000000885
8,0.0075,7958,60,103,71,0.971435546875,0.028564453125,0.02960793750000046,0.02368635000000041
9,0.01,7880,86,138,88,0.9619140625,0.0380859375,0.03930400000000356,0.03144320000000289
10,0.025,7441,179,378,194,0.9083251953125,0.0916748046875,0.09568750000000081,0.07655000000000067
11,0.05,6684,389,766,353,0.81591796875,0.18408203125,0.18300000000000083,0.14640000000000053
12,0.075,6035,589,980,588,0.7366943359375,0.2633056640625,0.2623125000000004,0.20985000000000031
13,0.1,5376,748,1313,755,0.65625,0.34375,0.3340000000000004,0.2672000000000003
