,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8190,0,1,1,0.999755859375,0.000244140625,0.00039993000399918266,0.00031994400319934613
2,0.00025,8187,2,2,1,0.9993896484375,0.0006103515625,0.0009995625624996674,0.0007996500499997117
3,0.0005,8175,6,8,3,0.9979248046875,0.0020751953125,0.0019982504999991324,0.0015986003999992615
4,0.00075,8169,4,11,8,0.9971923828125,0.0028076171875,0.002996064187498426,0.0023968513499987854
5,0.001,8164,8,15,5,0.99658203125,0.00341796875,0.003993003999998024,0.003194403199998419
6,0.0025,8103,20,46,23,0.9891357421875,0.0108642578125,0.009956312499998843,0.00796504999999903
7,0.005,8052,39,67,34,0.98291015625,0.01708984375,0.01982549999999983,0.015860399999999886
8,0.0075,7970,54,106,62,0.972900390625,0.027099609375,0.029607937499998793,0.02368634999999908
9,0.01,7844,94,164,90,0.95751953125,0.04248046875,0.03930400000000256,0.031443200000002114
10,0.025,7380,196,421,195,0.90087890625,0.09912109375,0.09568749999999926,0.07654999999999945
11,0.05,6712,391,721,368,0.8193359375,0.1806640625,0.18299999999999927,0.14639999999999953
12,0.075,6052,620,946,574,0.73876953125,0.26123046875,0.2623124999999997,0.20984999999999976
13,0.1,5418,779,1287,708,0.661376953125,0.338623046875,0.33399999999999763,0.2671999999999981
