,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15
1,0.0001,8190,1,0,1,0.999755859375,0.000244140625,0.0003999300039992937,0.00031994400319956817
2,0.00025,8184,1,3,4,0.9990234375,0.0009765625,0.0009995625624994453,0.0007996500499996007
3,0.0005,8184,3,5,0,0.9990234375,0.0009765625,0.0019982504999989104,0.0015986003999991505
4,0.00075,8166,6,18,2,0.996826171875,0.003173828125,0.0029960641874986482,0.0023968513499988964
5,0.001,8159,7,17,9,0.9959716796875,0.0040283203125,0.003993003999997802,0.003194403199998197
6,0.0025,8102,28,40,22,0.989013671875,0.010986328125,0.009956312499999287,0.007965049999999474
7,0.005,8046,45,67,34,0.982177734375,0.017822265625,0.019825500000000273,0.01586040000000022
8,0.0075,7948,47,127,70,0.97021484375,0.02978515625,0.029607937499999126,0.0236863499999993
9,0.01,7869,95,159,69,0.9605712890625,0.0394287109375,0.03930400000000356,0.03144320000000289
10,0.025,7388,183,416,205,0.90185546875,0.09814453125,0.0956875000000007,0.07655000000000067
11,0.05,6697,373,717,405,0.8175048828125,0.1824951171875,0.18299999999999983,0.14639999999999986
12,0.075,6042,537,1043,570,0.737548828125,0.262451171875,0.2623124999999995,0.20984999999999965
13,0.1,5411,744,1305,732,0.6605224609375,0.3394775390625,0.3339999999999994,0.26719999999999955
