,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,4.440892098500626e-16,3.3306690738754696e-16
1,0.0001,8187,2,2,1,0.9993896484375,0.0006103515625,0.00039993000400107004,0.00031994400320090044
2,0.00025,8184,1,5,2,0.9990234375,0.0009765625,0.0009995625625016658,0.000799650050001377
3,0.0005,8180,2,8,2,0.99853515625,0.00146484375,0.0019982505000009088,0.0015986004000007048
4,0.00075,8173,5,8,6,0.9976806640625,0.0023193359375,0.0029960641874999805,0.0023968513500000066
5,0.001,8152,13,17,10,0.9951171875,0.0048828125,0.003993004000000244,0.0031944032000001954
6,0.0025,8110,16,41,25,0.989990234375,0.010009765625,0.00995631250000062,0.007965050000000473
7,0.005,8025,37,94,36,0.9796142578125,0.0203857421875,0.019825500000001606,0.01586040000000133
8,0.0075,7933,65,146,48,0.9683837890625,0.0316162109375,0.02960793750000068,0.023686350000000522
9,0.01,7866,79,163,84,0.960205078125,0.039794921875,0.039304000000004,0.031443200000003224
10,0.025,7450,190,363,189,0.909423828125,0.090576171875,0.09568750000000159,0.07655000000000134
11,0.05,6720,381,741,350,0.8203125,0.1796875,0.18300000000000094,0.14640000000000075
12,0.075,6063,563,1014,552,0.7401123046875,0.2598876953125,0.26231250000000117,0.20985000000000098
13,0.1,5472,727,1248,745,0.66796875,0.33203125,0.3340000000000001,0.2672000000000001
