,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16
1,0.0001,8186,2,2,2,0.999267578125,0.000732421875,0.0003999300040002929,0.0003199440032002343
2,0.00025,8183,2,4,3,0.9989013671875,0.0010986328125,0.0009995625625006666,0.0007996500500005999
3,0.0005,8179,4,7,2,0.9984130859375,0.0015869140625,0.0019982505000002426,0.0015986004000001497
4,0.00075,8174,5,11,2,0.997802734375,0.002197265625,0.0029960641874995364,0.0023968513499996735
5,0.001,8158,11,17,6,0.995849609375,0.004150390625,0.003993003999999134,0.0031944031999993072
6,0.0025,8120,20,39,13,0.9912109375,0.0087890625,0.009956312499999065,0.007965049999999252
7,0.005,8028,47,88,29,0.97998046875,0.02001953125,0.019825500000000273,0.01586040000000022
8,0.0075,7953,73,107,59,0.9708251953125,0.0291748046875,0.029607937500000014,0.023686349999999967
9,0.01,7871,75,161,85,0.9608154296875,0.0391845703125,0.03930400000000478,0.03144320000000389
10,0.025,7413,196,386,197,0.9049072265625,0.0950927734375,0.09568750000000015,0.07655000000000012
11,0.05,6740,378,673,401,0.82275390625,0.17724609375,0.18300000000000038,0.1464000000000002
12,0.075,6038,538,1014,602,0.737060546875,0.262939453125,0.2623124999999995,0.20984999999999965
13,0.1,5441,732,1274,745,0.6641845703125,0.3358154296875,0.33399999999999985,0.2671999999999999
