,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,0.09980029370376642,0.07984023496301307
1,0.0001,8192,0,0,0,1.0,0.0,0.09996782526802717,0.07997426021442178
2,0.00025,8192,0,0,0,1.0,0.0,0.1002190912006814,0.08017527296054505
3,0.0005,8187,4,0,1,0.9993896484375,0.0006103515625,0.10063778398513623,0.08051022718810896
4,0.00075,8185,2,3,2,0.9991455078125,0.0008544921875,0.10105637205712603,0.0808450976457008
5,0.001,8182,7,3,0,0.998779296875,0.001220703125,0.10147485541665002,0.08117988433332002
6,0.0025,8166,11,9,6,0.996826171875,0.003173828125,0.10398355661208081,0.08318684528966469
7,0.005,8130,25,19,18,0.992431640625,0.007568359375,0.10815634827407095,0.08652507861925685
8,0.0075,8100,24,35,33,0.98876953125,0.01123046875,0.11231866868973084,0.08985493495178465
9,0.01,8068,45,43,36,0.98486328125,0.01513671875,0.11647051785906037,0.09317641428724832
10,0.025,7876,93,113,110,0.96142578125,0.03857421875,0.14116171670214195,0.1129293733617136
11,0.05,7588,184,195,225,0.92626953125,0.07373046875,0.18147601506765032,0.14518081205412015
12,0.075,7312,271,303,306,0.892578125,0.107421875,0.22074318880028332,0.1765945510402267
13,0.1,7036,395,385,376,0.85888671875,0.14111328125,0.25896323790004905,0.20717059032003926
