,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,7342,210,525,115,0.896240234375,0.103759765625,0.08453806975649036,0.06763045580519234
2,0.00025,7324,201,549,118,0.89404296875,0.10595703125,0.0847939647314977,0.06783517178519816
3,0.0005,7369,210,486,127,0.8995361328125,0.1004638671875,0.08522037104325753,0.06817629683460602
4,0.00075,7351,199,514,128,0.8973388671875,0.1026611328125,0.08564667071344623,0.06851733657075698
5,0.001,7318,198,536,140,0.893310546875,0.106689453125,0.08607286374206513,0.06885829099365215
6,0.0025,7350,208,534,100,0.897216796875,0.102783203125,0.08862778244085212,0.0709022259526817
7,0.005,7276,237,528,151,0.88818359375,0.11181640625,0.0928774489466847,0.07430195915734783
8,0.0075,7265,248,542,137,0.8868408203125,0.1131591796875,0.09711645129566104,0.07769316103652879
9,0.01,7194,264,603,131,0.878173828125,0.121826171875,0.10134478948778636,0.08107583159022913
10,0.025,7064,283,618,227,0.8623046875,0.1376953125,0.12649087134662373,0.10119269707729894
11,0.05,6854,393,649,296,0.836669921875,0.163330078125,0.16754787522980163,0.13403830018384133
12,0.075,6577,478,768,369,0.8028564453125,0.1971435546875,0.20753846342769788,0.16603077074215844
13,0.1,6280,553,841,518,0.7666015625,0.2333984375,0.24646263594031703,0.1971701087522536
