,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,7905,0,287,0,0.9649658203125,0.0350341796875,0.10336542866019749,0.08269234292815797
1,0.0001,7874,1,317,0,0.961181640625,0.038818359375,0.1035322472331186,0.0828257977864949
2,0.00025,7859,5,326,2,0.9593505859375,0.0406494140625,0.1037824438124555,0.08302595504996435
3,0.0005,7848,2,342,0,0.9580078125,0.0419921875,0.10419935469789499,0.08335948375831603
4,0.00075,7871,2,317,2,0.9608154296875,0.0391845703125,0.10461616131651086,0.08369292905320869
5,0.001,7873,3,314,2,0.9610595703125,0.0389404296875,0.105032863668304,0.0840262909346432
6,0.0025,7864,13,310,5,0.9599609375,0.0400390625,0.10753088817582346,0.08602471054065874
7,0.005,7819,19,328,26,0.9544677734375,0.0455322265625,0.1116859210093113,0.08934873680744904
8,0.0075,7820,32,309,31,0.95458984375,0.04541015625,0.11583052716065656,0.09266442172852529
9,0.01,7747,37,366,42,0.9456787109375,0.0543212890625,0.11996470662985881,0.09597176530388707
10,0.025,7573,106,396,117,0.9244384765625,0.0755615234375,0.14455082312009915,0.1156406584960793
11,0.05,7324,187,484,197,0.89404296875,0.10595703125,0.1846935493658297,0.14775483949266377
12,0.075,7039,297,551,305,0.8592529296875,0.1407470703125,0.2237936073973804,0.1790348859179044
13,0.1,6739,359,697,397,0.8226318359375,0.1773681640625,0.26185099721475824,0.20948079777180661
