,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.00018749062499900937,0.0001499924999992519
2,0.00025,8189,1,0,2,0.9996337890625,0.0003662109375,0.00046869140624883343,0.00037495312499902234
3,0.0005,8186,0,4,2,0.999267578125,0.000732421875,0.0009372656250001832,0.0007498125000001687
4,0.00075,8183,4,2,3,0.9989013671875,0.0010986328125,0.0014057226562504965,0.0011245781250004416
5,0.001,8175,6,4,7,0.9979248046875,0.0020751953125,0.0018740624999986633,0.0014992499999989528
6,0.0025,8161,9,12,10,0.9962158203125,0.0037841796875,0.004681640624997652,0.003745312499998099
7,0.005,8119,22,23,28,0.9910888671875,0.0089111328125,0.009351562500000021,0.007481249999999995
8,0.0075,8116,27,21,28,0.99072265625,0.00927734375,0.014009765625000004,0.011207812500000025
9,0.01,8070,42,37,43,0.985107421875,0.014892578125,0.01865624999999982,0.014924999999999855
10,0.025,7883,108,98,103,0.9622802734375,0.0377197265625,0.04628906250000009,0.03703125000000007
11,0.05,7616,185,189,202,0.9296875,0.0703125,0.09140625000000258,0.0731250000000021
12,0.075,7297,295,290,310,0.8907470703125,0.1092529296875,0.13535156249999825,0.10828124999999855
13,0.1,7033,398,389,372,0.8585205078125,0.1414794921875,0.1781249999999981,0.14249999999999852
