,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8191,0,0,1,0.9998779296875,0.0001220703125,0.0001874906249991204,0.00014999249999936293
2,0.00025,8191,0,1,0,0.9998779296875,0.0001220703125,0.00046869140624894445,0.00037495312499902234
3,0.0005,8188,1,3,0,0.99951171875,0.00048828125,0.0009372656250012934,0.0007498125000010569
4,0.00075,8182,3,5,2,0.998779296875,0.001220703125,0.0014057226562494973,0.0011245781249996645
5,0.001,8181,5,2,4,0.9986572265625,0.0013427734375,0.0018740624999984412,0.0014992499999987308
6,0.0025,8173,3,8,8,0.9976806640625,0.0023193359375,0.004681640624997763,0.003745312499998099
7,0.005,8135,16,17,24,0.9930419921875,0.0069580078125,0.009351562500000576,0.007481250000000328
8,0.0075,8080,37,28,47,0.986328125,0.013671875,0.014009765625000559,0.011207812500000358
9,0.01,8060,42,47,43,0.98388671875,0.01611328125,0.018656249999999153,0.0149249999999993
10,0.025,7871,97,123,101,0.9608154296875,0.0391845703125,0.04628906249999898,0.03703124999999918
11,0.05,7583,215,205,189,0.9256591796875,0.0743408203125,0.0914062500000028,0.07312500000000222
12,0.075,7291,295,298,308,0.8900146484375,0.1099853515625,0.13535156249999947,0.10828124999999955
13,0.1,7033,373,384,402,0.8585205078125,0.1414794921875,0.1781249999999981,0.14249999999999852
