,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,2.220446049250313e-16,2.220446049250313e-16
1,0.0001,8191,0,1,0,0.9998779296875,0.0001220703125,0.00018749062499934244,0.00014999249999936293
2,0.00025,8189,3,0,0,0.9996337890625,0.0003662109375,0.0004686914062497216,0.0003749531249997995
3,0.0005,8185,2,3,2,0.9991455078125,0.0008544921875,0.0009372656250017375,0.00074981250000139
4,0.00075,8182,2,5,3,0.998779296875,0.001220703125,0.0014057226562500524,0.0011245781249999975
5,0.001,8186,2,3,1,0.999267578125,0.000732421875,0.0018740624999991073,0.0014992499999992859
6,0.0025,8167,10,4,11,0.9969482421875,0.0030517578125,0.004681640624998318,0.0037453124999986542
7,0.005,8142,15,18,17,0.993896484375,0.006103515625,0.009351562500000465,0.007481250000000328
8,0.0075,8093,29,36,34,0.9879150390625,0.0120849609375,0.014009765625000226,0.011207812500000136
9,0.01,8069,38,38,47,0.9849853515625,0.0150146484375,0.018656250000000152,0.014925000000000188
10,0.025,7907,103,77,105,0.9652099609375,0.0347900390625,0.046289062499999534,0.03703124999999974
11,0.05,7613,194,187,198,0.9293212890625,0.0706787109375,0.09140625000000169,0.07312500000000133
12,0.075,7293,306,300,293,0.8902587890625,0.1097412109375,0.1353515624999988,0.108281249999999
13,0.1,6984,400,391,417,0.8525390625,0.1474609375,0.17812499999999887,0.14249999999999896
