,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-8.881784197001252e-16,-6.661338147750939e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.00018749062499834324,0.0001499924999986968
2,0.00025,8187,2,2,1,0.9993896484375,0.0006103515625,0.0004686914062486114,0.0003749531249989113
3,0.0005,8185,2,4,1,0.9991455078125,0.0008544921875,0.0009372656249997391,0.0007498124999998357
4,0.00075,8184,4,1,3,0.9990234375,0.0009765625,0.0014057226562486091,0.0011245781249989983
5,0.001,8169,12,6,5,0.9971923828125,0.0028076171875,0.0018740624999979971,0.0014992499999983977
6,0.0025,8170,9,10,3,0.997314453125,0.002685546875,0.0046816406249967635,0.003745312499997433
7,0.005,8133,22,15,22,0.9927978515625,0.0072021484375,0.009351562499999022,0.007481249999999329
8,0.0075,8098,37,27,30,0.988525390625,0.011474609375,0.014009765624999337,0.01120781249999947
9,0.01,8084,34,42,32,0.98681640625,0.01318359375,0.018656249999998487,0.014924999999998745
10,0.025,7876,118,91,107,0.96142578125,0.03857421875,0.0462890624999982,0.03703124999999863
11,0.05,7567,221,202,202,0.9237060546875,0.0762939453125,0.09140625000000069,0.07312500000000066
12,0.075,7291,295,292,314,0.8900146484375,0.1099853515625,0.1353515624999979,0.10828124999999833
13,0.1,7039,384,385,384,0.8592529296875,0.1407470703125,0.17812499999999698,0.14249999999999763
