,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15
1,0.0001,8191,1,0,0,0.9998779296875,0.0001220703125,0.0001874906249986763,0.00014999249999902986
2,0.00025,8183,4,3,2,0.9989013671875,0.0010986328125,0.00046869140624794525,0.0003749531249983562
3,0.0005,8187,3,0,2,0.9993896484375,0.0006103515625,0.0009372656250002942,0.0007498125000001687
4,0.00075,8179,2,3,8,0.9984130859375,0.0015869140625,0.0014057226562494973,0.0011245781249996645
5,0.001,8177,4,5,6,0.9981689453125,0.0018310546875,0.0018740624999988853,0.0014992499999990638
6,0.0025,8163,10,12,7,0.9964599609375,0.0035400390625,0.004681640624996541,0.003745312499997211
7,0.005,8144,17,14,17,0.994140625,0.005859375,0.009351562499999133,0.007481249999999329
8,0.0075,8099,35,27,31,0.9886474609375,0.0113525390625,0.014009765624999782,0.011207812499999803
9,0.01,8074,48,29,41,0.985595703125,0.014404296875,0.01865624999999871,0.014924999999998967
10,0.025,7852,105,128,107,0.95849609375,0.04150390625,0.046289062499998423,0.03703124999999863
11,0.05,7599,189,187,217,0.9276123046875,0.0723876953125,0.09140625000000113,0.073125000000001
12,0.075,7288,310,286,308,0.8896484375,0.1103515625,0.13535156249999813,0.10828124999999855
13,0.1,7012,405,363,412,0.85595703125,0.14404296875,0.17812499999999742,0.14249999999999796
