,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,1.0,0.8
1,0.0001,8192,0,0,0,1.0,0.0,0.999987500625,0.7999900005
2,0.00025,8184,3,2,3,0.9990234375,0.0009765625,0.9999687539062501,0.799975003125
3,0.0005,8183,3,3,3,0.9989013671875,0.0010986328125,0.9999375156249999,0.7999500125
4,0.00075,8184,3,0,5,0.9990234375,0.0009765625,0.9999062851562499,0.799925028125
5,0.001,8184,3,1,4,0.9990234375,0.0009765625,0.9998750625,0.7999000500000001
6,0.0025,8159,14,10,9,0.9959716796875,0.0040283203125,0.999687890625,0.7997503125
7,0.005,8134,16,20,22,0.992919921875,0.007080078125,0.9993765624999998,0.7995012499999998
8,0.0075,8106,30,23,33,0.989501953125,0.010498046875,0.9990660156249999,0.7992528124999999
9,0.01,8068,46,40,38,0.98486328125,0.01513671875,0.99875625,0.799005
10,0.025,7884,106,108,94,0.96240234375,0.03759765625,0.9969140624999999,0.7975312499999999
11,0.05,7566,216,203,207,0.923583984375,0.076416015625,0.99390625,0.795125
12,0.075,7303,289,299,301,0.8914794921875,0.1085205078125,0.9909765625,0.79278125
13,0.1,6981,370,407,434,0.8521728515625,0.1478271484375,0.988125,0.7905
