,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16
1,0.0001,8192,0,0,0,1.0,0.0,0.00018749062499889835,0.00014999249999902986
2,0.00025,8190,1,1,0,0.999755859375,0.000244140625,0.00046869140624883343,0.00037495312499902234
3,0.0005,8188,1,2,1,0.99951171875,0.00048828125,0.0009372656250006273,0.0007498125000005018
4,0.00075,8184,2,3,3,0.9990234375,0.0009765625,0.0014057226562493863,0.0011245781249995535
5,0.001,8180,6,3,3,0.99853515625,0.00146484375,0.001874062499997553,0.0014992499999980646
6,0.0025,8166,9,8,9,0.996826171875,0.003173828125,0.004681640624997874,0.003745312499998321
7,0.005,8144,16,17,15,0.994140625,0.005859375,0.009351562500000465,0.007481250000000328
8,0.0075,8100,25,41,26,0.98876953125,0.01123046875,0.01400976562500067,0.01120781250000058
9,0.01,8078,36,38,40,0.986083984375,0.013916015625,0.01865624999999982,0.014924999999999855
10,0.025,7892,98,104,98,0.96337890625,0.03662109375,0.04628906249999898,0.03703124999999918
11,0.05,7547,217,219,209,0.9212646484375,0.0787353515625,0.09140625000000147,0.07312500000000122
12,0.075,7308,277,272,335,0.89208984375,0.10791015625,0.13535156249999825,0.10828124999999855
13,0.1,6952,404,418,418,0.8486328125,0.1513671875,0.17812499999999853,0.14249999999999885
