,Error probability,p_success,p_logical_error
0,0.0,0.483154296875,0.516845703125
1,0.0001,0.470458984375,0.529541015625
2,0.00025,0.4678955078125,0.5321044921875
3,0.0005,0.470947265625,0.529052734375
4,0.00075,0.4678955078125,0.5321044921875
5,0.001,0.474365234375,0.525634765625
6,0.0025,0.4853515625,0.5146484375
7,0.005,0.4581298828125,0.5418701171875
8,0.0075,0.4793701171875,0.5206298828125
9,0.01,0.4644775390625,0.5355224609375
10,0.025,0.43896484375,0.56103515625
11,0.05,0.41796875,0.58203125
12,0.075,0.383544921875,0.616455078125
13,0.1,0.36376953125,0.63623046875
