,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.39617316717780326,0.31693853374224257,0.6123046875,0.3876953125
1,0.0001,0.39638821194185825,0.3171105695534866,0.6063232421875,0.3936767578125
2,0.00025,0.396710645337662,0.31736851627012963,0.599609375,0.400390625
3,0.0005,0.397247677757943,0.3177981422063544,0.602294921875,0.397705078125
4,0.00075,0.3977842646161679,0.31822741169293434,0.608154296875,0.391845703125
5,0.001,0.3983204060898503,0.3186563248718802,0.5947265625,0.4052734375
6,0.0025,0.4015279117222481,0.3212223293777985,0.6015625,0.3984375
7,0.005,0.4068382416235571,0.32547059329884565,0.5970458984375,0.4029541015625
8,0.0075,0.41210433394828383,0.32968346715862706,0.599365234375,0.400634765625
9,0.01,0.4173263657629803,0.3338610926103842,0.59130859375,0.40869140625
10,0.025,0.4477432016674383,0.35819456133395067,0.5638427734375,0.4361572265625
11,0.05,0.4950311317407161,0.39602490539257285,0.5401611328125,0.4598388671875
12,0.075,0.5382140239501092,0.43057121916008734,0.509521484375,0.490478515625
13,0.1,0.5774689448480886,0.46197515587847093,0.4873046875,0.5126953125
