,Error probability,p_success,p_logical_error
0,0.0,0.6015625,0.3984375
1,0.0001,0.5926513671875,0.4073486328125
2,0.00025,0.59814453125,0.40185546875
3,0.0005,0.611328125,0.388671875
4,0.00075,0.601318359375,0.398681640625
5,0.001,0.5848388671875,0.4151611328125
6,0.0025,0.5955810546875,0.4044189453125
7,0.005,0.5914306640625,0.4085693359375
8,0.0075,0.5885009765625,0.4114990234375
9,0.01,0.5894775390625,0.4105224609375
10,0.025,0.555419921875,0.444580078125
11,0.05,0.5428466796875,0.4571533203125
12,0.075,0.51513671875,0.48486328125
13,0.1,0.4920654296875,0.5079345703125
