,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15,1.0,0.0
1,0.0001,0.36143858033045073,0.28915086426436054,0.577392578125,0.422607421875
2,0.00025,0.3617812663506015,0.2894250130804812,0.5787353515625,0.4212646484375
3,0.0005,0.36235203023423157,0.2898816241873853,0.57470703125,0.42529296875
4,0.00075,0.3629223197262732,0.29033785578101856,0.5811767578125,0.4188232421875
5,0.001,0.3634921350301694,0.2907937080241355,0.566162109375,0.433837890625
6,0.0025,0.3669010778950852,0.2935208623160681,0.5794677734375,0.4205322265625
7,0.005,0.37254483712079345,0.29803586969663476,0.5693359375,0.4306640625
8,0.0075,0.37814149461229496,0.3025131956898359,0.554443359375,0.445556640625
9,0.01,0.38369123942971217,0.30695299154376976,0.57275390625,0.42724609375
10,0.025,0.41601512955680864,0.3328121036454469,0.5540771484375,0.4459228515625
11,0.05,0.46626130623001905,0.3730090449840152,0.5135498046875,0.4864501953125
12,0.075,0.5121376185350391,0.40971009482803133,0.4871826171875,0.5128173828125
13,0.1,0.5538331271153605,0.44306650169228834,0.46337890625,0.53662109375
