,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.0003999300040002929,0.0003199440032002343,1.0,0.0
2,0.00025,0.0009995625625006666,0.0007996500500005999,0.9996337890625,0.0003662109375
3,0.0005,0.0019982505000002426,0.0015986004000001497,0.9991455078125,0.0008544921875
4,0.00075,0.0029960641874995364,0.0023968513499996735,0.99755859375,0.00244140625
5,0.001,0.003993003999999134,0.0031944031999993072,0.9974365234375,0.0025634765625
6,0.0025,0.009956312499998177,0.007965049999998586,0.9930419921875,0.0069580078125
7,0.005,0.019825500000000273,0.01586040000000022,0.986572265625,0.013427734375
8,0.0075,0.029607937500000014,0.023686349999999967,0.978515625,0.021484375
9,0.01,0.03930400000000478,0.03144320000000389,0.97119140625,0.02880859375
10,0.025,0.09568750000000015,0.07655000000000012,0.923583984375,0.076416015625
11,0.05,0.18300000000000038,0.1464000000000002,0.869873046875,0.130126953125
12,0.075,0.26231250000000017,0.2098500000000001,0.8074951171875,0.1925048828125
13,0.1,0.33399999999999985,0.2671999999999999,0.7518310546875,0.2481689453125
