,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0
1,0.0001,0.00039993000400018186,0.0003199440032002343,0.9993896484375,0.0006103515625
2,0.00025,0.0009995625625016658,0.000799650050001377,0.99951171875,0.00048828125
3,0.0005,0.0019982505000001316,0.0015986004000001497,0.9986572265625,0.0013427734375
4,0.00075,0.0029960641874995364,0.0023968513499996735,0.9979248046875,0.0020751953125
5,0.001,0.003993003999999356,0.0031944031999995293,0.99658203125,0.00341796875
6,0.0025,0.009956312499999509,0.007965049999999585,0.9930419921875,0.0069580078125
7,0.005,0.01982550000000116,0.015860400000000885,0.98583984375,0.01416015625
8,0.0075,0.02960793749999957,0.023686349999999634,0.976318359375,0.023681640625
9,0.01,0.039304000000003114,0.03144320000000245,0.9688720703125,0.0311279296875
10,0.025,0.09568750000000104,0.07655000000000078,0.923828125,0.076171875
11,0.05,0.18300000000000116,0.14640000000000097,0.8681640625,0.1318359375
12,0.075,0.26231250000000084,0.20985000000000065,0.8045654296875,0.1954345703125
13,0.1,0.3340000000000003,0.2672000000000002,0.7696533203125,0.2303466796875
