,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,0.9996337890625,0.0003662109375
2,0.00025,0.999755859375,0.000244140625
3,0.0005,0.998779296875,0.001220703125
4,0.00075,0.9974365234375,0.0025634765625
5,0.001,0.996826171875,0.003173828125
6,0.0025,0.9932861328125,0.0067138671875
7,0.005,0.9849853515625,0.0150146484375
8,0.0075,0.9771728515625,0.0228271484375
9,0.01,0.9730224609375,0.0269775390625
10,0.025,0.9268798828125,0.0731201171875
11,0.05,0.8759765625,0.1240234375
12,0.075,0.81689453125,0.18310546875
13,0.1,0.75,0.25
