,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,0.9996337890625,0.0003662109375
2,0.00025,0.9993896484375,0.0006103515625
3,0.0005,0.9990234375,0.0009765625
4,0.00075,0.9970703125,0.0029296875
5,0.001,0.99755859375,0.00244140625
6,0.0025,0.993408203125,0.006591796875
7,0.005,0.983154296875,0.016845703125
8,0.0075,0.978271484375,0.021728515625
9,0.01,0.9722900390625,0.0277099609375
10,0.025,0.9322509765625,0.0677490234375
11,0.05,0.865966796875,0.134033203125
12,0.075,0.80078125,0.19921875
13,0.1,0.750244140625,0.249755859375
