,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.00039993000399918266,0.00031994400319934613,0.999755859375,0.000244140625
2,0.00025,0.0009995625624996674,0.0007996500499997117,0.9989013671875,0.0010986328125
3,0.0005,0.0019982504999991324,0.0015986003999992615,0.9984130859375,0.0015869140625
4,0.00075,0.002996064187498426,0.0023968513499987854,0.997802734375,0.002197265625
5,0.001,0.003993003999998024,0.003194403199998419,0.9967041015625,0.0032958984375
6,0.0025,0.009956312499998843,0.00796504999999903,0.9927978515625,0.0072021484375
7,0.005,0.01982549999999983,0.015860399999999886,0.9849853515625,0.0150146484375
8,0.0075,0.029607937499998793,0.02368634999999908,0.9761962890625,0.0238037109375
9,0.01,0.03930400000000256,0.031443200000002114,0.9710693359375,0.0289306640625
10,0.025,0.09568749999999926,0.07654999999999945,0.9329833984375,0.0670166015625
11,0.05,0.18299999999999927,0.14639999999999953,0.8734130859375,0.1265869140625
12,0.075,0.2623124999999997,0.20984999999999976,0.807861328125,0.192138671875
13,0.1,0.33399999999999763,0.2671999999999981,0.7557373046875,0.2442626953125
