,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,4.440892098500626e-16,3.3306690738754696e-16,1.0,0.0
1,0.0001,0.00039993000400107004,0.00031994400320090044,0.9996337890625,0.0003662109375
2,0.00025,0.0009995625625016658,0.000799650050001377,0.9993896484375,0.0006103515625
3,0.0005,0.0019982505000009088,0.0015986004000007048,0.9993896484375,0.0006103515625
4,0.00075,0.0029960641874999805,0.0023968513500000066,0.9981689453125,0.0018310546875
5,0.001,0.003993004000000244,0.0031944032000001954,0.9971923828125,0.0028076171875
6,0.0025,0.00995631250000062,0.007965050000000473,0.992431640625,0.007568359375
7,0.005,0.019825500000001606,0.01586040000000133,0.986572265625,0.013427734375
8,0.0075,0.02960793750000068,0.023686350000000522,0.97900390625,0.02099609375
9,0.01,0.039304000000004,0.031443200000003224,0.970703125,0.029296875
10,0.025,0.09568750000000159,0.07655000000000134,0.9288330078125,0.0711669921875
11,0.05,0.18300000000000094,0.14640000000000075,0.859619140625,0.140380859375
12,0.075,0.26231250000000117,0.20985000000000098,0.809326171875,0.190673828125
13,0.1,0.3340000000000001,0.2672000000000001,0.758544921875,0.241455078125
