,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,0.9998779296875,0.0001220703125
2,0.00025,0.999267578125,0.000732421875
3,0.0005,0.9986572265625,0.0013427734375
4,0.00075,0.9976806640625,0.0023193359375
5,0.001,0.9967041015625,0.0032958984375
6,0.0025,0.9925537109375,0.0074462890625
7,0.005,0.9844970703125,0.0155029296875
8,0.0075,0.977294921875,0.022705078125
9,0.01,0.9703369140625,0.0296630859375
10,0.025,0.928466796875,0.071533203125
11,0.05,0.857177734375,0.142822265625
12,0.075,0.8087158203125,0.1912841796875
13,0.1,0.7576904296875,0.2423095703125
