,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,1.0,0.0
1,0.0001,0.0003999300040002929,0.0003199440032002343,0.999267578125,0.000732421875
2,0.00025,0.0009995625625006666,0.0007996500500005999,0.9993896484375,0.0006103515625
3,0.0005,0.0019982505000002426,0.0015986004000001497,0.9979248046875,0.0020751953125
4,0.00075,0.0029960641874995364,0.0023968513499996735,0.99755859375,0.00244140625
5,0.001,0.003993003999999134,0.0031944031999993072,0.9971923828125,0.0028076171875
6,0.0025,0.009956312499999065,0.007965049999999252,0.99072265625,0.00927734375
7,0.005,0.019825500000000273,0.01586040000000022,0.985595703125,0.014404296875
8,0.0075,0.029607937500000014,0.023686349999999967,0.9774169921875,0.0225830078125
9,0.01,0.03930400000000478,0.03144320000000389,0.9705810546875,0.0294189453125
10,0.025,0.09568750000000015,0.07655000000000012,0.92626953125,0.07373046875
11,0.05,0.18300000000000038,0.1464000000000002,0.8648681640625,0.1351318359375
12,0.075,0.2623124999999995,0.20984999999999965,0.8115234375,0.1884765625
13,0.1,0.33399999999999985,0.2671999999999999,0.7525634765625,0.2474365234375
