,Error probability,p_success,p_logical_error
0,0.0,0.4656982421875,0.5343017578125
1,0.0001,0.4747314453125,0.5252685546875
2,0.00025,0.4857177734375,0.5142822265625
3,0.0005,0.474853515625,0.525146484375
4,0.00075,0.4742431640625,0.5257568359375
5,0.001,0.4830322265625,0.5169677734375
6,0.0025,0.4678955078125,0.5321044921875
7,0.005,0.4703369140625,0.5296630859375
8,0.0075,0.4661865234375,0.5338134765625
9,0.01,0.4683837890625,0.5316162109375
10,0.025,0.4591064453125,0.5408935546875
11,0.05,0.44970703125,0.55029296875
12,0.075,0.445068359375,0.554931640625
13,0.1,0.43994140625,0.56005859375
