,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.06776145715110782,0.0542091657208863,0.9356689453125,0.0643310546875
2,0.00025,0.06802238523569648,0.054417908188557185,0.9271240234375,0.0728759765625
3,0.0005,0.06845717838542775,0.054765742708342224,0.9310302734375,0.0689697265625
4,0.00075,0.06889186279609283,0.055113490236874285,0.927001953125,0.072998046875
5,0.001,0.06932643846769104,0.05546115077415281,0.9263916015625,0.0736083984375
6,0.0025,0.07193160897693762,0.05754528718155005,0.9329833984375,0.0670166015625
7,0.005,0.07626486070051808,0.06101188856041451,0.932373046875,0.067626953125
8,0.0075,0.0805872385176385,0.06446979081411075,0.9171142578125,0.0828857421875
9,0.01,0.08489874242829987,0.0679189939426399,0.918212890625,0.081787109375
10,0.025,0.11053941385664912,0.08843153108531931,0.9013671875,0.0986328125
11,0.05,0.15240395372058213,0.12192316297646566,0.86669921875,0.13330078125
12,0.075,0.1931811029386925,0.15454488235095398,0.8375244140625,0.1624755859375
13,0.1,0.2328708615109899,0.18629668920879183,0.805419921875,0.194580078125
