,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.36580810808412856,0.29264648646730285,0.6478271484375,0.3521728515625
1,0.0001,0.36592244074559166,0.2927379525964733,0.6431884765625,0.3568115234375
2,0.00025,0.3660939182993427,0.2928751346394741,0.6348876953125,0.3651123046875
3,0.0005,0.36637965705307196,0.29310372564245757,0.637451171875,0.362548828125
4,0.00075,0.3666653243453134,0.29333225947625075,0.64794921875,0.35205078125
5,0.001,0.3669509201760677,0.2935607361408541,0.6370849609375,0.3629150390625
6,0.0025,0.36866299446938167,0.2949303955755054,0.64013671875,0.35986328125
7,0.005,0.3715107347059895,0.29720858776479164,0.642333984375,0.357666015625
8,0.0075,0.37435132879394617,0.299481063035157,0.6368408203125,0.3631591796875
9,0.01,0.3771847767332539,0.30174782138660317,0.631591796875,0.368408203125
10,0.025,0.39403539524747433,0.3152283161979794,0.624755859375,0.375244140625
11,0.05,0.421548067545927,0.3372384540367416,0.6036376953125,0.3963623046875
12,0.075,0.4483461249794818,0.35867689998358543,0.59375,0.40625
13,0.1,0.4744295675481429,0.3795436540385143,0.5621337890625,0.4378662109375
