,Error probability,p_success,p_logical_error
0,0.0,0.59619140625,0.40380859375
1,0.0001,0.5982666015625,0.4017333984375
2,0.00025,0.6033935546875,0.3966064453125
3,0.0005,0.6004638671875,0.3995361328125
4,0.00075,0.5841064453125,0.4158935546875
5,0.001,0.5986328125,0.4013671875
6,0.0025,0.590087890625,0.409912109375
7,0.005,0.6051025390625,0.3948974609375
8,0.0075,0.5902099609375,0.4097900390625
9,0.01,0.589111328125,0.410888671875
10,0.025,0.5782470703125,0.4217529296875
11,0.05,0.5655517578125,0.4344482421875
12,0.075,0.5462646484375,0.4537353515625
13,0.1,0.538330078125,0.461669921875
