,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.21345987434541414,0.1707678994763313,0.7838134765625,0.2161865234375
1,0.0001,0.21360467513014225,0.17088374010411367,0.7913818359375,0.2086181640625
2,0.00025,0.21382184915573288,0.17105747932458626,0.796142578125,0.203857421875
3,0.0005,0.2141837334610377,0.1713469867688302,0.79638671875,0.20361328125
4,0.00075,0.21454552726132503,0.17163642180906002,0.793212890625,0.206787109375
5,0.001,0.21490723055659577,0.17192578444527662,0.795654296875,0.204345703125
6,0.0025,0.21707554972289977,0.1736604397783198,0.7916259765625,0.2083740234375
7,0.005,0.22068217459881834,0.17654573967905463,0.7918701171875,0.2081298828125
8,0.0075,0.22427974897316494,0.1794237991785319,0.784912109375,0.215087890625
9,0.01,0.22786827284593958,0.18229461827675164,0.7899169921875,0.2100830078125
10,0.025,0.24920935554960844,0.19936748443968677,0.771240234375,0.228759765625
11,0.05,0.2840537865967374,0.22724302927738993,0.736328125,0.263671875
12,0.075,0.31799316748679374,0.254394533989435,0.718505859375,0.281494140625
13,0.1,0.35102749821978385,0.2808219985758271,0.6971435546875,0.3028564453125
