,Error probability,p_success,p_logical_error
0,0.0,0.4886474609375,0.5113525390625
1,0.0001,0.4981689453125,0.5018310546875
2,0.00025,0.497314453125,0.502685546875
3,0.0005,0.5069580078125,0.4930419921875
4,0.00075,0.494140625,0.505859375
5,0.001,0.4996337890625,0.5003662109375
6,0.0025,0.4918212890625,0.5081787109375
7,0.005,0.494140625,0.505859375
8,0.0075,0.4857177734375,0.5142822265625
9,0.01,0.495361328125,0.504638671875
10,0.025,0.489501953125,0.510498046875
11,0.05,0.4886474609375,0.5113525390625
12,0.075,0.4676513671875,0.5323486328125
13,0.1,0.4617919921875,0.5382080078125
