,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,0.4999999999999998,0.3999999999999998,0.50341796875,0.49658203125
1,0.0001,0.5000874956249994,0.4000699964999995,0.50048828125,0.49951171875
2,0.00025,0.5002187226562494,0.4001749781249996,0.4940185546875,0.5059814453125
3,0.0005,0.5004373906250001,0.40034991250000007,0.4974365234375,0.5025634765625
4,0.00075,0.5006560039062502,0.40052480312500016,0.4970703125,0.5029296875
5,0.001,0.5008745624999991,0.4006996499999993,0.506103515625,0.493896484375
6,0.0025,0.5021847656249987,0.4017478124999989,0.5032958984375,0.4967041015625
7,0.005,0.5043640624999999,0.40349124999999986,0.4923095703125,0.5076904296875
8,0.0075,0.506537890625,0.40523031249999997,0.489990234375,0.510009765625
9,0.01,0.5087062499999999,0.4069649999999999,0.4910888671875,0.5089111328125
10,0.025,0.5216015624999999,0.41728124999999994,0.48779296875,0.51220703125
11,0.05,0.5426562500000006,0.43412500000000054,0.48095703125,0.51904296875
12,0.075,0.5631640624999991,0.4505312499999993,0.466796875,0.533203125
13,0.1,0.5831249999999993,0.46649999999999947,0.4552001953125,0.5447998046875
