,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0
1,0.0001,0.0001874906249991204,0.00014999249999936293,1.0,0.0
2,0.00025,0.00046869140624894445,0.00037495312499902234,0.999755859375,0.000244140625
3,0.0005,0.0009372656250012934,0.0007498125000010569,0.999267578125,0.000732421875
4,0.00075,0.0014057226562494973,0.0011245781249996645,0.998291015625,0.001708984375
5,0.001,0.0018740624999984412,0.0014992499999987308,0.999267578125,0.000732421875
6,0.0025,0.004681640624997763,0.003745312499998099,0.99609375,0.00390625
7,0.005,0.009351562500000576,0.007481250000000328,0.993896484375,0.006103515625
8,0.0075,0.014009765625000559,0.011207812500000358,0.9879150390625,0.0120849609375
9,0.01,0.018656249999999153,0.0149249999999993,0.9840087890625,0.0159912109375
10,0.025,0.04628906249999898,0.03703124999999918,0.960205078125,0.039794921875
11,0.05,0.0914062500000028,0.07312500000000222,0.9276123046875,0.0723876953125
12,0.075,0.13535156249999947,0.10828124999999955,0.895263671875,0.104736328125
13,0.1,0.1781249999999981,0.14249999999999852,0.85498046875,0.14501953125
