,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,1.0,0.0
2,0.00025,0.9996337890625,0.0003662109375
3,0.0005,0.999755859375,0.000244140625
4,0.00075,0.9991455078125,0.0008544921875
5,0.001,0.9984130859375,0.0015869140625
6,0.0025,0.99658203125,0.00341796875
7,0.005,0.9932861328125,0.0067138671875
8,0.0075,0.9891357421875,0.0108642578125
9,0.01,0.984130859375,0.015869140625
10,0.025,0.963623046875,0.036376953125
11,0.05,0.927001953125,0.072998046875
12,0.075,0.8912353515625,0.1087646484375
13,0.1,0.854248046875,0.145751953125
