,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-8.881784197001252e-16,-6.661338147750939e-16,1.0,0.0
1,0.0001,0.00018749062499834324,0.0001499924999986968,0.999755859375,0.000244140625
2,0.00025,0.0004686914062486114,0.0003749531249989113,0.999267578125,0.000732421875
3,0.0005,0.0009372656249997391,0.0007498124999998357,0.9991455078125,0.0008544921875
4,0.00075,0.0014057226562486091,0.0011245781249989983,0.998779296875,0.001220703125
5,0.001,0.0018740624999979971,0.0014992499999983977,0.9990234375,0.0009765625
6,0.0025,0.0046816406249967635,0.003745312499997433,0.99658203125,0.00341796875
7,0.005,0.009351562499999022,0.007481249999999329,0.9927978515625,0.0072021484375
8,0.0075,0.014009765624999337,0.01120781249999947,0.9908447265625,0.0091552734375
9,0.01,0.018656249999998487,0.014924999999998745,0.9847412109375,0.0152587890625
10,0.025,0.0462890624999982,0.03703124999999863,0.9644775390625,0.0355224609375
11,0.05,0.09140625000000069,0.07312500000000066,0.92431640625,0.07568359375
12,0.075,0.1353515624999979,0.10828124999999833,0.8895263671875,0.1104736328125
13,0.1,0.17812499999999698,0.14249999999999763,0.8565673828125,0.1434326171875
