,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,0.999755859375,0.000244140625
2,0.00025,0.9996337890625,0.0003662109375
3,0.0005,0.9989013671875,0.0010986328125
4,0.00075,0.99755859375,0.00244140625
5,0.001,0.9989013671875,0.0010986328125
6,0.0025,0.9967041015625,0.0032958984375
7,0.005,0.9918212890625,0.0081787109375
8,0.0075,0.9866943359375,0.0133056640625
9,0.01,0.9844970703125,0.0155029296875
10,0.025,0.9620361328125,0.0379638671875
11,0.05,0.9251708984375,0.0748291015625
12,0.075,0.8916015625,0.1083984375
13,0.1,0.8626708984375,0.1373291015625
