,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-1.3322676295501878e-15,-1.1102230246251565e-15,1.0,0.0
1,0.0001,0.0001874906249986763,0.00014999249999902986,1.0,0.0
2,0.00025,0.00046869140624794525,0.0003749531249983562,0.9996337890625,0.0003662109375
3,0.0005,0.0009372656250002942,0.0007498125000001687,0.9993896484375,0.0006103515625
4,0.00075,0.0014057226562494973,0.0011245781249996645,0.9986572265625,0.0013427734375
5,0.001,0.0018740624999988853,0.0014992499999990638,0.9989013671875,0.0010986328125
6,0.0025,0.004681640624996541,0.003745312499997211,0.99609375,0.00390625
7,0.005,0.009351562499999133,0.007481249999999329,0.9915771484375,0.0084228515625
8,0.0075,0.014009765624999782,0.011207812499999803,0.989013671875,0.010986328125
9,0.01,0.01865624999999871,0.014924999999998967,0.9837646484375,0.0162353515625
10,0.025,0.046289062499998423,0.03703124999999863,0.9627685546875,0.0372314453125
11,0.05,0.09140625000000113,0.073125000000001,0.931884765625,0.068115234375
12,0.075,0.13535156249999813,0.10828124999999855,0.88720703125,0.11279296875
13,0.1,0.17812499999999742,0.14249999999999796,0.8603515625,0.1396484375
