,Error probability,p_success,p_logical_error
0,0.0,0.0,1.0
1,0.0001,0.0001220703125,0.9998779296875
2,0.00025,0.0001220703125,0.9998779296875
3,0.0005,0.0006103515625,0.9993896484375
4,0.00075,0.00048828125,0.99951171875
5,0.001,0.000244140625,0.999755859375
6,0.0025,0.00146484375,0.99853515625
7,0.005,0.00244140625,0.99755859375
8,0.0075,0.0035400390625,0.9964599609375
9,0.01,0.0040283203125,0.9959716796875
10,0.025,0.0123291015625,0.9876708984375
11,0.05,0.02392578125,0.97607421875
12,0.075,0.0340576171875,0.9659423828125
13,0.1,0.0484619140625,0.9515380859375
