,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,4.440892098500626e-16,3.3306690738754696e-16,1.0,0.0
1,0.0001,0.00018749062499989755,0.00014999249999991804,0.9998779296875,0.0001220703125
2,0.00025,0.0004686914062501657,0.00037495312500013256,0.9998779296875,0.0001220703125
3,0.0005,0.0009372656250019595,0.000749812500001612,0.998779296875,0.001220703125
4,0.00075,0.0014057226562509406,0.0011245781250007747,0.9990234375,0.0009765625
5,0.001,0.0018740624999999955,0.001499249999999952,0.99853515625,0.00146484375
6,0.0025,0.00468164062499854,0.0037453124999988763,0.9957275390625,0.0042724609375
7,0.005,0.00935156250000091,0.007481250000000772,0.9925537109375,0.0074462890625
8,0.0075,0.014009765625001336,0.011207812500001024,0.9893798828125,0.0106201171875
9,0.01,0.018656250000000152,0.014925000000000188,0.98583984375,0.01416015625
10,0.025,0.04628906250000009,0.03703125000000007,0.9637451171875,0.0362548828125
11,0.05,0.09140625000000213,0.07312500000000166,0.9302978515625,0.0697021484375
12,0.075,0.1353515624999999,0.10828124999999988,0.8966064453125,0.1033935546875
13,0.1,0.1781249999999991,0.1424999999999994,0.861083984375,0.138916015625
