,Error probability,p_success,p_logical_error
0,0.0,1.0,0.0
1,0.0001,0.99951171875,0.00048828125
2,0.00025,0.99951171875,0.00048828125
3,0.0005,0.9996337890625,0.0003662109375
4,0.00075,0.999267578125,0.000732421875
5,0.001,0.99755859375,0.00244140625
6,0.0025,0.99755859375,0.00244140625
7,0.005,0.9945068359375,0.0054931640625
8,0.0075,0.9864501953125,0.0135498046875
9,0.01,0.98681640625,0.01318359375
10,0.025,0.96142578125,0.03857421875
11,0.05,0.9278564453125,0.0721435546875
12,0.075,0.8912353515625,0.1087646484375
13,0.1,0.8546142578125,0.1453857421875
