,Error probability,Process infidelity,Average gate infidelity,p_success,p_logical_error
0,0.0,-4.440892098500626e-16,-4.440892098500626e-16,1.0,0.0
1,0.0001,0.00018749062499889835,0.00014999249999902986,0.9996337890625,0.0003662109375
2,0.00025,0.00046869140624883343,0.00037495312499902234,0.999755859375,0.000244140625
3,0.0005,0.0009372656250006273,0.0007498125000005018,0.999267578125,0.000732421875
4,0.00075,0.0014057226562493863,0.0011245781249995535,0.9993896484375,0.0006103515625
5,0.001,0.001874062499997553,0.0014992499999980646,0.9984130859375,0.0015869140625
6,0.0025,0.004681640624997874,0.003745312499998321,0.99658203125,0.00341796875
7,0.005,0.009351562500000465,0.007481250000000328,0.991943359375,0.008056640625
8,0.0075,0.01400976562500067,0.01120781250000058,0.99169921875,0.00830078125
9,0.01,0.01865624999999982,0.014924999999999855,0.98486328125,0.01513671875
10,0.025,0.04628906249999898,0.03703124999999918,0.9613037109375,0.0386962890625
11,0.05,0.09140625000000147,0.07312500000000122,0.9268798828125,0.0731201171875
12,0.075,0.13535156249999825,0.10828124999999855,0.88671875,0.11328125
13,0.1,0.17812499999999853,0.14249999999999885,0.8604736328125,0.1395263671875
